,내용
1803,글을 싸기에 앞서서앞으로 존댓말 이제 안쓸게 쓰니깐 오히려 뭐 아는 척하는 문가 처럼 보인다고 하는 피드백이 있으므로그리고 두번 세번 강조하지만 난 비전문가에 하수임 이전 글 참조 곡물 하반기 전망 2012년 데자뷰 미국 주식 갤러리 최근 굉장히 눈여겨 보고 있는 종목은 육류 육가공 업체쪽 갑자기 왜 육류 타이슨 푸드의 급등육가공 업체의 넘버원이라 할 수 있는 미국의 타이슨 푸드가 어제 87퍼센트나 급등했다다우랑 에센피는 하락했지만차트를 보면 알겠지만 하락 채널을 완전히 부숴버리고 새로운 차트를 열기 시작했음 주로 이렇게 대장주가 변화가 크면 해당 섹터에 매수힘이 붙기 시작한다 급등 이유는 북미기준 월요일 장마감후 있었던 어닝발표에서 문자 그대로 찢었기 때문 예측치인 1143보다 훨씬 높은 1248 매출을 달성했다 그리고 의 컨퍼런스에서 발표한 내용이 꽤나 의미깊었음 강력한 육류수요 증가와 더불어 최근 레스토랑 산업이 다시 재오픈 하면서 훨씬 매출이 가속화 될 것이다 이라고 말했는데 우리는 여기서 2가지를 알 수 있음 1 코로나 우려로 인해 타이슨푸드의 주요 고객층이라 할 수 있는 레스토랑 산업부문 수요가 상당히 부족했던 상황에서도 매출이 예상치를 상당히 초과해 수익달성함 즉 북미를 포함해 개인 육류소비량은 여전히 강력하다 2 백신 강제접종으로 델타변이 우려가 작아지고 외식산업이 활성화 되기 시작하는 시점에 온다면 타이슨 푸드의 말대로 매출은 훨씬 급등할 것이 예상됨 그래서 이 2가지 요인 덕분에 그저께까지 축 쳐진 고무풍선마냥 힘없던 타이슨푸드의 주가가 큰 힘을 받고 상승하기 시작했네물론 70불대 지지선에서 계속 버텨주긴 했었음이와 더불어 난 다음의 이유로 육가공섹터를 굉장히 하게 바라보는 중이야1 높아지는 대두 옥수수 가격 높아지는 육류 가격 스프레드 마진 증가로 육류 업체 수익 증가 현재까지도 북미 및 남미 지역의 농산물 작황은 영 좋지 않음 특히 북미의 경우 콘벨트 지역에 최근까지 계속된 극심한 가뭄으로 인해 대다수 옥수수의 수율이 상당히 좋지 않은 상태 다행히도 다시금 비가 최근에 내리곤 있다 하지만 가장 중요한 성장기에 가뭄이 심한건 결국 문제가 있다한편 대두의 경우 그 문제가 좀 더 심각함 그래서 대두 선물 가격이 어느 선에서 계속 버티는 이유도 그러하지그래서 곡물가격에 직접적 영향을 받는 등의 농산물 업체 투자가 약간 꺼려지거나 혹은 분산해서 투자하고 싶다면 육가공 업체 쪽도 상당히 괜찮아보인다는 말을 하고 싶네 2 육류 소비량은 앞으로도 계속 늘어날 예정자료 출처 20210426 자 육류 소비량은 앞으로도 크게 늘어날 예정이다 지구의 인구가 앞으로도 계속 늘어날 것을 감안한다면 그리고 세월이 흐를수록 선진국 반열에 드는 국가가 늘어날 것을 고려한다면 이러한 육류소비량증가는 어찌보면 당연지사3 우려 시기상조비욘드 미트 임파서블 푸드 등의 대체육이 최근 친환경 바람이 불면서 세간의 인기를 끌고 있는듯 하다그러나 아직 현실과 너무 거리가 멀다 저건 대중적인 음식이라기 보다는 팬시하고 힙한 혹은 베지테리언을 위한 매니악한 수요에 가깝다실제 육류의 질감과 맛을 따라잡기에는 너무나 멀다 아무리 빨라도 2030년은 되어야 현실성이 있을것 특히 배양육의 경우 더더욱4 리스크인가 기회인가 아프리카돼지열병의 전세계 유행 시기 유럽올해 7월 1일 유럽연합 집행위원회 보고서에 따르면 2월부터 6월까지 아프리카 돼지열병이 독일 폴란드 헝가리 루마니아 등 12개 국가에 퍼졌네 특히 유럽 최대 돈육생산국 중 하나인 독일 농가에서 가 유행함에 따라 상황이 심각해지고 있으며 독일에서 야생돼지가 아닌 농가에서 사육하는 돼지가 에 걸린 것은 이번이 처음이라 함 이에 따라 유럽연합과 유럽 각국에서는 방역 대책을 강구하고 있지만 확산세가 계속 증가하는 추세이네북미북미는 상대적으로 청적지역이었는데 최근 들어 도미니카 공화국에서 갑자기 유행이 돌고 있네 인접국가에 확산될지 말지는 모르겠으나 관계당국은 긴장중임중국중국은 최근 20182019년 아프리카돼지열병 대유행으로 돼지고기가격이 폭등했었음 그에 따라 상인들이 너나할것없이 돼지고기를 엄청 기르기 시작했고 그에 따라 곡물 가격은 작년 5월까지 엄청나게 급등했다 물론 그 이면에는 정부 역시 장려한 측면이 있겠지그런데 최근 중국에 폭풍 수재해가 겹치면서 다시 유행 조짐을 보였어다만 이거 관련해선 약간 논쟁 여지가 있는게 다른 뉴스에선 중국쪽에 돼지생산 피해는 크지 않고 오히려 2020년에 급증한 돼지고기사육량 덕분에 생산량에 큰 다타격은 없을 거라고 하기도 하네 5 육류 육가공 섹터는 대표적인 경기방어주다들 알다시피 올해 테이퍼링 가능성이 매우매우 높아졌고 그에 따라 지각 대변동이 일어날 조짐을 보이고 있어이럴때는 성장주 쪽은 상대적으로 주가하락의 우려가 큰 반면 식품 식자재 유통 유틸리티전기가스 통신 쪽같은 경기방어주 섹터는 단단한 방어력을 보여준다 2013년 버냉키 시절 테이퍼링 충격때 대부분 경기방어주 빼곤 다 뒤졌었음 2015년 12월 제닛 연준의장 기준금리 인상발표때도 대부분 돈들이 경기방어주에 갑자기 몰렸고 나머지 섹터는 다 뒤졌었다즉 이렇게 시장이 위험하지만 어쨌든 투자를 해야하는 사람들은 경기방어주 외에는 달리 돈 들어갈곳이 없다고 판단하고서 매수가 몰리는 것임즉 경기방어주는 상방이 높진 않지만 방어력 만큼은 상당하고 또 테이퍼링 및 금리 위험이 직접 다가올수록 오히려 상승하는 기현상을 보이곤 함 그러니 저점매수가 중요하겠지 그런데 지금이 바로 그 저점매수의 기회처럼 보이네 당장 올해 차트로도 알 수 있는게 타이슨푸드는 2021년 2월 중순 전까진 그렇게 상승을 보이고 있지 않다가 연준 테이퍼링 이슈가 뜨면서 그때부터 갑자기 엄청나게 뜨기 시작했었음아래 차트 참조번외편 타이슨푸드 말고 시총도 작고 업사이드 많을거같은 잡주 없나요이런 가치주일수록 오히려 시킹알파 스크리닝이 꽤나 도움이 되는 편 애널리스트들 평가도 괜찮고 재무상태도 괜찮은데 시총도 크지 않아서 대충 업사이드 높아보이는 녀석들은 다음과 같다 중소형 육류 육가공업체에 대한 별도 평가는 하지 않겠음리스크가 있으니 함부로 언급하기 조심스럽네한편 타이슨 푸드에 대한 최근 애널들의 평가는 상당히 좋은편아무튼 내용이 길어졌는데 짧게 요약하면 다음과 같음1 육류육가공 섹터쪽 수급이 어제 갑자기 크게 들어왔다어제 타이슨푸드 주식 거래량이 올해 중에 2번째로 높았음 상승채널로의 반전조짐이 보임2 육류섹터는 대표적인 경기방어주 중 하나 그러므로 저점매수하면 나중에 다른 섹터들 떡락했을때 익절후 갈아타기 참 좋다3 백신접종 증가 및 델타변이 우려가 감소하고 레스토랑 서비스업 등이 활성화되면 소비량 급증이 당연히 예상됨 4 아직 저평가 상태이다 다들 성투하시길
1805,얘는 공모해볼까
1806,조 바이든 미국 행정부가 공화당이 강하게 반대하는 3조5000억달러약 4000조원의 인프라 예산을 단독 처리한다는 방침을 세웠다민주당이 공화당 초당파 의원들과 합의한 1조달러 예산 외에 양당이 이견을 보이는 복지 교육 증세 등을 담은 3조5000억달러의 예산에 대해 별도로 처리하겠다는 방침을 공식화한 것이다미국 정치전문매체 더힐 등에 따르면 척 슈머 민주당 상원 원내대표는 9일현지시간 3조5000억달러에 달하는 예산안 처리에 필요한 예산 결의안을 공개했다결의안은 전체적인 예산안 규모와 항목 처리 시한 등을 개략적으로 담은 일종의 지침이다민주당은 10일께로 예상되는 1조달러의 초당파 합의 예산안이 상원을 통과하면 주중에 이 결의안을 별도로 처리하고 3조5000억달러의 예산 확보 절차에 본격적으로 착수할 예정이다이 예산안에는 노인 의료보험제도 확대 보육 및 교육 프로그램 지원 기후변화 대처 이민법 개혁 약가 인하 등 그동안 바이든 대통령과 민주당이 중점적으로 추진해온 내용이 대거 담긴다슈머 원내대표는 결의안에서 상원의 12개 상임위원회가 다음 달 15일까지 상임위별 예산안을 제출하면 이를 취합해 상원의 심사에 들어가겠다는 일정표를 제시했다이번 예산은 공화당의 필리버스터합법적 의사진행 방해 절차가 적용되지 않는 예산조정 절차를 통해 처리될 예정이다바이든 대통령은 취임 후 일자리 계획2조2500억달러 가족 계획1조7000억달러 등 4조달러약 4600조 원 인프라 예산을 의회에 요청했다그러나 국가채무 증가 기업 투자 의욕 저하 등을 우려한 공화당의 반대에 부딪히자 타협 가능한 부분은 여야 합의로 처리하되 이견이 있는 예산은 민주당이 의회 다수석을 활용해 자력으로 통과시키는 투트랙 전략을 마련했다0080004628804린든 존슨 행정부의 위대한 사회 정책 이후 오랜만에 나온 종합 복지 플랜육아 교육 등 기본복지부터 주택 공급 수도 자연재해대응 친환경 합법 이민자 사이버 보안 등 넓은 의미의 인프라 계획까지 다 들어있음저번에 초당적으로 통과된 1조 규모의 전통적 인프라안과 합치면 바이든 행정부의 바이든 플랜 정책이 어느 정도 완성이 됨미국 근황 생각나서 함 써봤음
1807,안터짐머임친환경 핵미사일임
1808,느그 포토폴리오 장기투자에 100 두중은 들어가야한다지금1 세계 물부족지금 날씨 씹창나서 가뭄 존나 심한거는 알고있지 세계적으로가뭄이 심하면 뭐가 부족할까 당근빠따 물이지증류방식 담수화는 현재 두중이 1등이다2 전기차 설마 주식한다면서 친환경 전기 수소발전 이딴 개소리 하는놈 없길바람현재 가장 효율좋은 발전 기술이 원전이고 원전없으면 전기차도 없음 이건 주관적 견해가아니라 단순 사칙연산에의한 팩트임원전 핵융합 이순서다지금도 블랙아웃나니마니 하는 상황인데 친환경 전기가 뜨겠냐무조건 원전은 뜨고 두중도 따라 뜬다
1809,0080004628804 린든 존슨 행정부의 위대한 사회 정책 이후 오랜만에 나온 종합 복지 플랜 육아 교육 등 기본복지부터 주택 공급 수도 자연재해대응 친환경 합법 이민자 사이버 보안 등 넓은 의미의 인프라 계획까지 다 들어있음 저번에 초당적으로 통과된 1조 규모의 전통적 인프라안과 합치면 바이든 행정부의 바이든 플랜 정책이 어느 정도 완성이 됨 국제정치는 백악관 갤러리
1810,태양광바이오매스 열병합 발전신재생에너지 폐목재폐합성수지유리석탄재화학물질폐수 및 폐유 등 수거 및 재활용 처리자원순환 클린룸 폐기물 소각 및 매립 폐열 이용 난방 공급 매립장 악취 정화 집진가스처리배연탈질회처리 설비 환경설비 유지보수친환경에 빠질 수 없는 기업 아닌가 싶음
1811,왜냐하면 전통적으로 많이 화석연료를 사용했던 유럽미국은 다행이도 2000년대 이후 완만한 감소추세지만 군붕이들의 예상과 살짝 다르게 미국도 미 민주당이 정권을 잡거나 주지사인곳은 친환경에 적극적인 편임 공화당 지지지역도 생각보다 원자력풍력태양광을 꽤 돌리는 상황이고개도국들은 경제성장을 하면서 어쩔 수 없이 화석연료 사용량이 늘 수 밖에 없음특히 2000년대 들어서는 중국이 제조업의 중심지 중 하나가 되면서 급격히 탄소배출이 늘었고 지금은 국가 단위로 보면 미국의 2배가 넘는 탄소를 배출중임거기다가 최근에 신흥공업국으로 떠오른 인도도 급격히 늘고 있음불행 중 다행이도 개도국 중에서도 중국처럼 제조업이나 기술 수준이 되는 나라라면 정부에서 친환경 사업을 밀어붙여서 탄소 배출 증가세를 둔화시킬 여지가 있지만 기타 개도국들은 그거도 힘들지왜냐하면 전통적인 화석연료를 이용한 이동수단 및 전기 생산이 아직까지는 더 가격대비 효율적이거든
1812,전세계가 전기차 지랄거리는건짱깨새끼들은 내연기관 절대 못맨드는데 좆기차는 만만하니깐어떻게든 좆기차 수출하려고 전세계적으로 선동하는거임하지만 팩트는 하이브리드가 좆기차따위보다 종합적으로 더 친환경적임탄소배출량 차이도 별로 없을 뿐더러 배터리에 들어가는 제한적인 리소스에 대한 의존도가 좆기차보다 훨신 적음
1813,그 네이쳐논문은 일본인이 쓴것도 아닐뿐더러일본같은경우 경차랑 하이브리드가 다수 전기생산중 친환경이 별로 없어서 전기차가 내연기관보다 탄소 배출량이 더 많다는 내용인데그리고 전기차가 무슨 일본 자국 생산꺼만 가지고 얘기하는줄 아냐 진짜 국뽕인지 좆기차충인지 제발 아가리를 벌릴때 생각이라는걸 한번쯤은 거치도록 해라 개병신년아난 저런 개소리를 보면 화를 주체할 수가 없다 ㅅㅂ
1814,??2월 22일 인민은행에 400억위안 유동성 흡수3642월 23일 비트코인 급락 영향 2232월 24일 앤트그룹 상장 중단 등 알리바바 때리기에 놀란 글로벌 헤지펀드와 연기금의 알리바바 주식 대거 매도5812월 26일 미국의 10년물 금리가 장 중 16까지 상승4063월 04일 중국정책당국의 친환경 에너지 정책 발표가 시장 기대치에 못미쳐 풍력 전기차의 큰 조정4323월 08일 미국 금리상승세의 우려로 하락을 불러온 장세 후티반군의 사우디 유조시설 공격으로 유가 상승5693월 10일 중국정부가 반독점 이슈로 알리바바에게 사상최대의 3조원대의 과징금 결정 1233월 15일 알리바바 중국 안드로이드 앱스토어 삭제되거나 다운로드가 제한됨4913월 19일 알래스카 미중 고위급 회담에서 신 냉전 분위기 318?3월 23일 신장 위구르 관련 미국과 유럽의 제재 367?3월 24일 중국기업의 1분기 실적이 기대치보다 악화 226 3월 25일 중국내 나이키 에 대한 불매운동 알리바바 타오바오등 중국의 인터넷 쇼핑몰에서 관련 상품들이 검색되지 않음118?3월 29일 미국에 상장된 상장폐지 우려골드만삭스가 11조 8808억의 중국테크 기업인 바이두 텐센트 숍을 매도2804월 07일 미국이 내년 베이징 올림픽 보이콧 소식으로 미중 갈등의 격화로 인한 시장 불안 심리 자극3264월 30일 중국이 알리바바에 이어 텐센트에도 반독점 이슈로 100억유안 과징금 우려 당국 핀테크 업체를 모아서 반독점 질타5월 06일 정부의 유동성 회수 1135월 07일 미국의 행정 명령으로 블랙리스트 기업들을 5월 말까지 전체 매도해야 하는 상황 1965월 10일 메이투안 디엔핑 가 자신의 에 분서갱유에 관련 글을 올렸다가 삭제 1705월 11일 핑두어도어 메이투안 디엔핑 소비자보호원에서 불려다가 혼냄 2505월 13일 텐센트 알리바바 3 하락1987월 02일 시진핑주석이 공산당 창립100주념 기념 행사에서 외부세력에 굴하지 않겠다고 보도 외국인 최고 매도가 나옴 3957월 05일 90 점유율을 중국판 카카오 택시 디디추싱을 뉴욕 증시에 상장 앱스토에서 앱을 차단 신규가입자 모집을 금지2257월 28일 주말에 중국 사교육 업체에 대한 규제 소식 라이브커머스 규제로 비리비리 콰이쇼 10하락5867월 29일 텐센트 뮤직 반독점 위반의 벌금 부과7138월 초 중국 당국은 현재 게임은 아편이다라고 규제를 시사하며 위챗은 중국 현지 검찰이 민사소송 진행중에 있다 ?
